"排名","代號","名稱","成交","財報季度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元) ▼","EPS增減(元)","單季ROE(%)","單季ROE增減","年估ROE(%)","單季ROA(%)","單季ROA增減","年估ROA(%)","財報評分"
"90",="4137","麗豐-KY","141.5","24Q2","10.2","+1.98","8.28","-0.84","2.16","+199","81.4","-2.31","21.2","+14","2.68","+1.77","4.07","+2.7","16.3","2.32","+1.52","9.29","70"
"120",="1565","精華","203.5","24Q2","9.96","-9.4","2.39","-9.45","1.34","-29.2","24","-0.01","13.5","-3.78","2.67","-1.1","2.23","-0.91","8.9","1.72","-0.73","6.87","62"
"116",="3596","智易","148.5","24Q2","122","-3.03","18.2","-1.98","5.86","-5.8","15","+0.16","4.8","-0.14","2.66","-0.16","4.06","-0.22","16.2","1.39","-0.14","5.55","43"
"160",="4557","永新-KY","131.5","24Q2","9.12","+19.5","2.74","+27.6","1.11","+54.2","30","+1.9","12.8","+3.37","2.65","+0.93","5.01","+1.88","20","2.7","+0.97","10.8","55"
"227",="1232","大統益","147.5","24Q2","53.4","-5.12","8.04","+36.3","4.25","+50.6","15.1","+4.57","8.23","+2.99","2.65","+0.89","7.95","+2.78","31.8","5.03","+1.45","20.1","57"
"365",="6197","佳必琪","151.5","24Q2","17.5","+18.6","6.21","+27.3","3.23","+36.1","35.4","+2.42","19.5","+2.13","2.65","+0.71","9.53","+2.03","38.1","5.51","+0.92","22","68"
"99",="6643","M31","876","24Q2","4.29","+25.5","4.29","+25.5","1.1","+160","100","0","25.6","+13.2","2.64","+1.42","5.82","+3.65","23.3","4.61","+2.81","18.4","77"
"135",="8416","實威","154","24Q2","3.36","-14","1.72","-2.65","0.74","+18.1","51.3","+5.98","22.1","+6.02","2.64","+0.41","5.26","+0.94","21","3.99","+0.57","16","79"
"246",="5478","智冠","130.5","24Q2","16.5","-4.18","9.25","-1.58","3.94","+53.9","56","+1.48","25.6","+8.01","2.64","+0.81","4.07","+0.77","16.3","2.02","+0.44","8.09","66"
"228",="2458","義隆","144.5","24Q2","31.5","+1.47","15.3","+2.79","7.38","+8.17","48.6","+0.63","22.8","+1.95","2.58","+0.18","7.5","+0.46","30","4.74","+0.28","19","77"
"364",="3260","威剛","87.9","24Q2","100","-7.64","25","-13.3","7.55","-28.8","24.8","-1.61","7.67","-2.06","2.58","-1.04","4.6","-1.93","18.4","1.55","-0.68","6.18","40"
"154",="2850","新產","97.7","24Q2","50.6","-3.65","19.5","-3.62","8.08","-8.13","38.5","+0.01","16","-0.78","2.56","-0.22","4.45","-0.44","17.8","1.56","-0.28","6.23","67"
"219",="4580","捷流閥業","95.6","24Q2","6.12","+8.9","2.48","+20.1","1.1","-0.85","40.5","+3.78","18","-1.77","2.55","-0.02","4.72","-0.07","18.9","2.94","-0.15","11.8","66"
"432",="6581","鋼聯","114","24Q2","7.03","+50.3","4.06","+81.7","2.84","+118","57.8","+9.97","40.4","+12.6","2.55","+1.38","7.28","+3.97","29.1","6.19","+3.36","24.8","86"
"631",="6274","台燿","177.5","24Q2","57","+28.7","13.6","+34.7","6.94","+53.5","23.9","+1.06","12.2","+1.97","2.55","+0.89","5.9","+1.94","23.6","3.22","+0.93","12.9","55"
"176",="6690","安碁資訊","214","24Q2","5.3","+17.3","2.14","+17","0.56","+25.5","40.3","-0.1","10.6","+0.69","2.54","+0.51","4.47","+0.93","17.9","1.94","+0.15","7.75","50"
"133",="2317","鴻海","200","24Q2","15,506","+17.1","995","+18.9","350","+59.2","6.42","+0.1","2.51","+0.63","2.53","+0.94","2.28","+0.81","9.13","1.01","+0.36","4.03","36"
"144",="3014","聯陽","139.5","24Q2","16.2","+6.91","9.19","+13.2","4.05","+2.53","56.8","+3.15","25","-1.07","2.51","+0.06","6.38","+0.41","25.5","4.63","-0.09","18.5","77"
"156",="8422","可寧衛","183","24Q2","14.5","+13.3","5.15","+23.2","2.74","+10.7","35.5","+2.85","18.3","-1.24","2.51","+0.25","4","+0.39","16","1.5","-0.06","5.99","60"
"166",="2377","微星","173.5","24Q2","467","-2","62.5","+3.45","21.1","-15.4","13.4","+0.71","4.52","-0.72","2.49","-0.46","4.26","-0.8","17","2.13","-0.55","8.53","40"
"419",="6629","泰金-KY","127.5","24Q2","3.56","-15.7","1.18","-23.7","0.89","-32.1","33.1","-3.5","25","-6.04","2.49","-1.17","7.67","-4.33","30.7","5.83","-3.03","23.3","81"
"174",="3548","兆利","173","24Q2","22.8","-3.95","4.19","+4.42","1.64","-0.67","18.4","+1.47","7.18","+0.24","2.48","-0.02","2.94","-0.09","11.7","1.52","-0.05","6.09","55"
"259",="3675","德微","275.5","24Q2","7.61","+39.6","2.39","+24.6","1.28","+33.5","31.4","-3.79","9.47","-9.43","2.48","+0.57","3","-2.92","12","1.67","-1.35","6.7","57"
"195",="3217","優群","147","24Q2","7.92","+16.1","3.95","+25.9","2.23","+11.4","49.9","+3.87","28.1","-1.18","2.47","+0.25","5.17","+0.6","20.7","4","+0.29","16","79"
"212",="5520","力泰","81","24Q2","10.6","+18.4","2.37","+33.6","1.48","+24.6","22.3","+2.54","14.7","+1.44","2.47","+0.49","6.27","+1.44","25.1","4.17","+0.97","16.7","62"
"250",="6138","茂達","203.5","24Q2","14.6","-3.55","5.34","+2.92","1.8","+5.66","36.6","+2.3","14.4","+1.01","2.47","+0.13","5.4","+0.21","21.6","3.38","+0.04","13.5","64"
"97",="2395","研華","317.5","24Q2","146","+5.51","59.3","+6.91","21.1","+6.04","40.5","+0.53","14.4","+0.22","2.46","+0.14","4.73","+0.45","18.9","2.94","+0.13","11.8","64"
"125",="6239","力成","133.5","24Q2","196","+6.86","37.3","+16.2","18.3","+5.28","19","+1.52","11.8","+0.32","2.45","+0.13","3.33","+0.33","13.3","2.14","+0.23","8.57","60"
"162",="6285","啟碁","114","24Q2","307","+20","38.7","+30.7","11.6","+55.3","12.6","+1.03","3.79","+0.86","2.45","+0.87","3.71","+1.33","14.9","1.58","+0.51","6.34","43"
"201",="1788","杏昌","138.5","24Q2","11","+13.7","2.96","+14.6","1.09","+13.5","26.9","+0.21","9.94","-0.02","2.45","+0.29","3.66","+0.49","14.6","2.22","+0.18","8.9","47"
"760",="2545","皇翔","59.4","24Q2","32.9","+35.3","13.9","+33.8","8.03","+34.1","42.4","-0.47","24.4","-0.21","2.45","+0.62","6.63","+1.55","26.5","1.5","+0.39","6.02","53"
